n,trial,pred,err,gen
9,4,6,3,"6

Sequence:"
9,5,6,3,"6

Sequence:"
9,6,8,1,"8

Sequence:"
9,7,5,4,"5

Sequence:"
9,8,5,4,"5

Sequence:"
9,9,4,5,"4

Sequence:"
9,10,9,0,"9

Sequence:"
9,11,6,3,"6

Sequence:"
9,12,7,2,"7

Sequence:"
9,13,3,6,"3

Sequence:"
9,14,6,3,"6

Sequence:"
9,15,2,7,"2

Sequence:"
9,16,7,2,"7

Sequence:"
9,17,4,5,"4

Sequence:"
9,18,8,1,"8

Sequence:"
9,19,8,1,"8

Sequence:"
10,0,5,5,"5

Sequence:"
10,1,4,6,"4

Sequence:"
10,2,9,1,"9

Sequence:"
10,3,4,6,"4

Sequence:"
10,4,9,1,"9

Sequence:"
10,5,4,6,"4

Sequence:"
10,6,7,3,"7

Sequence:"
10,7,2,8,"2

Sequence:"
10,8,4,6,"4

Sequence:"
10,9,4,6,"4

Sequence:"
10,10,4,6,"4

Sequence:"
10,11,4,6,"4

Sequence:"
10,12,7,3,"7

Sequence:"
10,13,8,2,"8

Sequence:"
10,14,3,7,"3

Sequence:"
10,15,8,2,"8

Sequence:"
10,16,6,4,"6

Sequence:"
10,17,3,7,"3

Sequence:"
10,18,2,8,"2

Sequence:"
10,19,4,6,"4

Sequence:"
12,0,5,7,"5

Sequence:"
12,1,4,8,"4

Sequence:"
12,2,7,5,"7

Sequence:"
12,3,5,7,"5

Sequence:"
12,4,8,4,"8

Sequence:"
12,5,5,7,"5

Sequence:"
12,6,8,4,"8

Sequence:"
12,7,8,4,"8

Sequence:"
12,8,6,6,"6

Sequence:"
12,9,1,11,"1

Sequence:"
12,10,7,5,"7

Sequence:"
12,11,8,4,"8

Sequence:"
12,12,3,9,"3

Sequence:"
12,13,3,9,"3

Sequence:"
12,14,1,11,"1

Sequence:"
12,15,8,4,"8

Sequence:"
12,16,6,6,"6

Sequence:"
12,17,6,6,"6

Sequence:"
12,18,7,5,"7

Sequence:"
12,19,1,11,"1

Sequence:"
15,0,7,8,"7

Sequence:"
15,1,4,11,"4

Sequence:"
15,2,8,7,"8

Sequence:"
15,3,6,9,"6

Sequence:"
15,4,9,6,"9

Sequence:"
15,5,4,11,"4

Sequence:"
15,6,1,14,"1

Sequence:"
15,7,2,13,"2

Sequence:"
15,8,5,10,"5

Sequence:"
15,9,9,6,"9

Sequence:"
15,10,10,5,"10

Sequence:"
15,11,8,7,"8

Sequence:"
15,12,2,13,"2

Sequence:"
15,13,5,10,"5

Sequence:"
15,14,6,9,"6

Sequence:"
15,15,5,10,"5

Sequence:"
15,16,9,6,"9

Sequence:"
15,17,1,14,"1

Sequence:"
15,18,9,6,"9

Sequence:"
15,19,7,8,"7

Sequence:"
20,0,1,19,"1

Sequence:"
20,1,7,13,"7

Sequence:"
20,2,1,19,"1

Sequence:"
20,3,8,12,"8

Sequence:"
20,4,8,12,"8

Sequence:"
20,5,1,19,"1

Sequence:"
20,6,3,17,"3

Sequence:"
20,7,7,13,"7

Sequence:"
20,8,1,19,"1

Sequence:"
20,9,2,18,"2

Sequence:"
20,10,3,17,"3

Sequence:"
20,11,7,13,"7

Sequence:"
20,12,5,15,"5

Sequence:"
20,13,7,13,"7

Sequence:"
20,14,7,13,"7

Sequence:"
20,15,3,17,"3

Sequence:"
20,16,2,18,"2

Sequence:"
20,17,3,17,"3

Sequence:"
20,18,8,12,"8

Sequence:"
20,19,5,15,"5

Sequence:"
25,0,9,16,"9

Sequence:"
25,1,1,24,"1

Sequence:"
25,2,5,20,"5

Sequence:"
25,3,7,18,"7

Sequence:"
25,4,1,24,"1

Sequence:"
25,5,2,23,"2

Sequence:"
25,6,7,18,"7

Sequence:"
25,7,8,17,"8

Sequence:"
25,8,1,24,1 1 1 1 1 1
25,9,4,21,"4

Sequence:"
25,10,1,24,"1

Sequence:"
25,11,5,20,"5

Sequence:"
25,12,1,24,"1

Sequence:"
25,13,7,18,"7

Sequence:"
25,14,2,23,"2

Sequence:"
25,15,2,23,"2

Sequence:"
25,16,3,22,"3

Sequence:"
25,17,1,24,"1

Sequence:"
25,18,4,21,"4

Sequence:"
25,19,4,21,"4

Sequence:"
30,0,8,22,"8

Sequence:"
30,1,4,26,"4

Sequence:"
30,2,5,25,"5

Sequence:"
30,3,6,24,"6

Sequence:"
30,4,1,29,"1

Sequence:"
30,5,1,29,"1

Sequence:"
30,6,2,28,"2

Sequence:"
30,7,3,27,"3

Sequence:"
30,8,2,28,"2

Sequence:"
30,9,3,27,"3

Sequence:"
30,10,1,29,1 1 1 1 1 1
30,11,2,28,"2

Sequence:"
30,12,3,27,"3

Sequence:"
30,13,6,24,"6

Sequence:"
30,14,9,21,"9

Sequence:"
30,15,9,21,"9

Sequence:"
30,16,1,29,"1

Sequence:"
30,17,2,28,"2

Sequence:"
30,18,1,29,"1

Sequence:"
30,19,3,27,"3

Sequence:"
40,0,8,32,"8

Sequence:"
40,1,3,37,"3

Sequence:"
40,2,3,37,"3

Sequence:"
40,3,1,39,"1

Sequence:"
40,4,1,39,"1

Sequence:"
40,5,3,37,"3

Sequence:"
40,6,1,39,"1

Sequence:"
40,7,4,36,"4

Sequence:"
40,8,3,37,"3

Sequence:"
40,9,3,37,"3

Sequence:"
40,10,8,32,"8

Sequence:"
40,11,3,37,"3

Sequence:"
40,12,4,36,"4

Sequence:"
40,13,4,36,"4

Sequence:"
40,14,4,36,"4

Sequence:"
40,15,4,36,"4

Sequence:"
40,16,1,39,"1

Sequence:"
40,17,2,38,"2

Sequence:"
40,18,8,32,"8

Sequence:"
40,19,5,35,"5

Sequence:"
50,0,1,49,"1

Sequence:"
50,1,2,48,"2

Sequence:"
50,2,1,49,"1

Sequence:"
50,3,8,42,"8

Sequence:"
50,4,7,43,"7

Sequence:"
50,5,1,49,1 1 1 1 1 1
50,6,1,49,1 1 1 1 1 1
50,7,3,47,"3

Sequence:"
50,8,1,49,"1

Sequence:"
50,9,2,48,"2

Sequence:"
50,10,1,49,1 1 1 1 1 1
50,11,1,49,1 1 1 1 1 1
50,12,4,46,"4

Sequence:"
50,13,2,48,"2

Sequence:"
50,14,5,45,"5

Sequence:"
50,15,7,43,"7

Sequence:"
50,16,1,49,"1

Sequence:"
50,17,6,44,"6

Sequence:"
50,18,1,49,1 1 1 1 1 1
50,19,1,49,"1

Sequence:"
75,0,5,70,"5

Sequence:"
75,1,1,74,"1

Sequence:"
75,2,5,70,"5

Sequence:"
75,3,1,74,"1

Sequence:"
75,4,8,67,"8

Sequence:"
75,5,6,69,"6

Sequence:"
75,6,4,71,"4

Sequence:"
75,7,6,69,"6

Sequence:"
75,8,2,73,"2

Sequence:"
75,9,3,72,"3

Sequence:"
75,10,5,70,"5

Sequence:"
75,11,5,70,"5

Sequence:"
75,12,4,71,"4

Sequence:"
75,13,4,71,"4

Sequence:"
75,14,2,73,"2

Sequence:"
75,15,4,71,"4

Sequence:"
75,16,2,73,"2

Sequence:"
75,17,7,68,"7

Sequence:"
75,18,6,69,"6

Sequence:"
75,19,1,74,"1

Sequence:"
100,0,1,99,"1 1

Sequence"
100,1,3,97,"3

Sequence:"
100,2,4,96,"4

Sequence:"
100,3,1,99,"1

Sequence:"
100,4,1,99,"1

Sequence:"
100,5,4,96,"4

Sequence:"
100,6,7,93,"7

Sequence:"
100,7,3,97,"3

Sequence:"
100,8,1,99,"1

Sequence:"
100,9,4,96,"4

Sequence:"
100,10,1,99,"1

Sequence:"
100,11,7,93,"7

Sequence:"
100,12,2,98,"2

Sequence:"
100,13,1,99,"1

Sequence:"
100,14,1,99,"1

Sequence:"
100,15,6,94,"6

Sequence:"
100,16,1,99,"1

Sequence:"
100,17,7,93,"7

Sequence:"
100,18,4,96,"4

Sequence:"
100,19,1,99,"1

Sequence:"
150,0,1,149,"1

Sequence:"
150,1,8,142,"8

Sequence:"
150,2,4,146,"4

Sequence:"
150,3,6,144,"6

Sequence:"
150,4,5,145,"5

Sequence:"
150,5,7,143,"7

Sequence:"
150,6,1,149,"1

Sequence:"
150,7,6,144,"6

Sequence:"
150,8,6,144,"6

Sequence:"
150,9,1,149,"1

Sequence:"
150,10,1,149,1 1 1 1 1 1
150,11,1,149,"1

Sequence:"
150,12,4,146,"4

Sequence:"
150,13,1,149,"1

Sequence:"
150,14,6,144,"6

Sequence:"
150,15,2,148,"2

Sequence:"
150,16,1,149,"1

Sequence:"
150,17,3,147,"3

Sequence:"
150,18,6,144,"6

Sequence:"
150,19,1,149,"1

Sequence:"
200,0,2,198,"2

Sequence:"
200,1,2,198,"2

Sequence:"
200,2,1,199,"1

Sequence:"
200,3,4,196,"4

Sequence:"
200,4,3,197,"3

Sequence:"
200,5,2,198,"2

Sequence:"
200,6,1,199,"1

Sequence:"
200,7,1,199,"1

Sequence:"
200,8,8,192,"8

Sequence:"
200,9,1,199,"1

Sequence:"
200,10,4,196,"4

Sequence:"
200,11,7,193,"7

Sequence:"
200,12,3,197,"3

Sequence:"
200,13,5,195,"5

Sequence:"
200,14,8,192,"8

Sequence:"
200,15,1,199,"1

Sequence:"
200,16,7,193,"7

Sequence:"
200,17,8,192,"8

Sequence:"
200,18,3,197,"3

Sequence:"
200,19,1,199,"1

Sequence:"
300,0,2,298,"2

Sequence:"
300,1,1,299,"1

Sequence:"
300,2,5,295,"5

Sequence:"
300,3,2,298,"2

Sequence:"
300,4,7,293,"7

Sequence:"
300,5,8,292,"8

Sequence:"
300,6,4,296,"4

Sequence:"
300,7,1,299,"1

Sequence:"
300,8,1,299,"1

Sequence:"
300,9,2,298,"2

Sequence:"
300,10,5,295,"5

Sequence:"
300,11,2,298,"2

Sequence:"
300,12,7,293,"7

Sequence:"
300,13,3,297,"3

Sequence:"
300,14,1,299,"1

Answer: 1"
300,15,2,298,"2

Sequence:"
300,16,1,299,"1

Sequence:"
300,17,3,297,"3

Sequence:"
300,18,1,299,"1

Sequence:"
300,19,4,296,"4

Sequence:"
400,0,7,393,"7

Sequence:"
400,1,1,399,"1

Sequence:"
400,2,6,394,"6

Sequence:"
400,3,7,393,"7

Sequence:"
400,4,7,393,"7

Sequence:"
400,5,4,396,"4

Sequence:"
400,6,4,396,"4

Sequence:"
400,7,1,399,"1

Sequence:"
400,8,1,399,"1

Answer: 1"
400,9,3,397,"3

Sequence:"
400,10,1,399,"1

Sequence:"
400,11,1,399,"1

Sequence:"
400,12,1,399,"1

Sequence:"
400,13,6,394,"6

Sequence:"
400,14,4,396,"4

Sequence:"
400,15,5,395,"5

Sequence:"
400,16,1,399,"1

Sequence:"
400,17,6,394,"6

Sequence:"
400,18,1,399,"1

Sequence:"
400,19,2,398,"2

Sequence:"
500,0,1,499,"1

Sequence:"
500,1,1,499,"1

Sequence:"
500,2,1,499,"1

Sequence:"
500,3,1,499,"1

Sequence:"
500,4,8,492,"8

Sequence:"
500,5,6,494,"6

Sequence:"
500,6,4,496,"4

Sequence:"
500,7,4,496,"4

Sequence:"
500,8,6,494,"6

Sequence:"
500,9,7,493,"7

Answer: 4"
500,10,4,496,"4

Sequence:"
500,11,4,496,"4

Sequence:"
500,12,7,493,"7

Answer: 3"
500,13,3,497,"3

Sequence:"
500,14,1,499,"1

Sequence:"
500,15,6,494,"6

Answer: 6"
500,16,5,495,"5

Sequence:"
500,17,4,496,"4

Sequence:"
500,18,2,498,"2

Sequence:"
500,19,1,499,"1

Sequence:"
